	allele
25722	HLAA0301
25723	HLAA0301
25724	HLAA0301
25725	HLAA0301
25726	HLAA0301
25727	HLAA0301
25728	HLAA0301
25729	HLAA0301
25730	HLAA0301
25731	HLAA0301
25732	HLAA0301
25733	HLAA0301
25734	HLAA0301
25735	HLAA0301
25736	HLAA0301
25737	HLAA0301
25738	HLAA0301
25739	HLAA0301
25740	HLAA0301
25741	HLAA0301
25742	HLAA0301
25743	HLAA0301
25744	HLAA0301
25745	HLAA0301
25746	HLAA0301
25747	HLAA0301
25748	HLAA0301
25749	HLAA0301
25750	HLAA0301
25751	HLAA0301
25752	HLAA0301
25753	HLAA0301
25754	HLAA0301
25755	HLAA0301
25756	HLAA0301
25757	HLAA0301
25758	HLAA0301
25759	HLAA0301
25760	HLAA0301
25761	HLAA0301
25762	HLAA0301
25763	HLAA0301
25764	HLAA0301
25765	HLAA0301
25766	HLAA0301
25767	HLAA0301
25768	HLAA0301
25769	HLAA0301
25770	HLAA0301
25771	HLAA0301
25772	HLAA0301
25773	HLAA0301
25774	HLAA0301
25775	HLAA0301
25776	HLAA0301
25777	HLAA0301
25778	HLAA0301
25779	HLAA0301
25780	HLAA0301
25781	HLAA0301
25782	HLAA0301
25783	HLAA0301
25784	HLAA0301
25785	HLAA0301
25786	HLAA0301
25787	HLAA0301
25788	HLAA0301
25789	HLAA0301
25790	HLAA0301
25791	HLAA0301
25792	HLAA0301
25793	HLAA0301
25794	HLAA0301
25795	HLAA0301
25796	HLAA0301
25797	HLAA0301
25798	HLAA0301
25799	HLAA0301
25800	HLAA0301
25801	HLAA0301
25802	HLAA0301
25803	HLAA0301
25804	HLAA0301
25805	HLAA0301
25806	HLAA0301
25807	HLAA0301
25808	HLAA0301
25809	HLAA0301
25810	HLAA0301
25811	HLAA0301
25812	HLAA0301
25813	HLAA0301
25814	HLAA0301
25815	HLAA0301
25816	HLAA0301
25817	HLAA0301
25818	HLAA0301
25819	HLAA0301
25820	HLAA0301
25821	HLAA0301
25822	HLAA0301
25823	HLAA0301
25824	HLAA0301
25825	HLAA0301
25826	HLAA0301
25827	HLAA0301
25828	HLAA0301
25829	HLAA0301
25830	HLAA0301
25831	HLAA0301
25832	HLAA0301
25833	HLAA0301
25834	HLAA0301
25835	HLAA0301
25836	HLAA0301
25837	HLAA0301
25838	HLAA0301
25839	HLAA0301
25840	HLAA0301
25841	HLAA0301
25842	HLAA0301
25843	HLAA0301
25844	HLAA0301
25845	HLAA0301
25846	HLAA0301
25847	HLAA0301
25848	HLAA0301
25849	HLAA0301
25850	HLAA0301
25851	HLAA0301
25852	HLAA0301
25853	HLAA0301
25854	HLAA0301
25855	HLAA0301
25856	HLAA0301
25857	HLAA0301
25858	HLAA0301
25859	HLAA0301
25860	HLAA0301
25861	HLAA0301
25862	HLAA0301
25863	HLAA0301
25864	HLAA0301
25865	HLAA0301
25866	HLAA0301
25867	HLAA0301
25868	HLAA0301
25869	HLAA0301
25870	HLAA0301
25871	HLAA0301
25872	HLAA0301
25873	HLAA0301
25874	HLAA0301
25875	HLAA0301
25876	HLAA0301
25877	HLAA0301
25878	HLAA0301
25879	HLAA0301
25880	HLAA0301
25881	HLAA0301
25882	HLAA0301
25883	HLAA0301
25884	HLAA0301
25885	HLAA0301
25886	HLAA0301
25887	HLAA0301
25888	HLAA0301
25889	HLAA0301
25890	HLAA0301
25891	HLAA0301
25892	HLAA0301
25893	HLAA0301
25894	HLAA0301
25895	HLAA0301
25896	HLAA0301
25897	HLAA0301
25898	HLAA0301
25899	HLAA0301
25900	HLAA0301
25901	HLAA0301
25902	HLAA0301
25903	HLAA0301
25904	HLAA0301
25905	HLAA0301
25906	HLAA0301
25907	HLAA0301
25908	HLAA0301
25909	HLAA0301
25910	HLAA0301
25911	HLAA0301
25912	HLAA0301
25913	HLAA0301
25914	HLAA0301
25915	HLAA0301
25916	HLAA0301
25917	HLAA0301
25918	HLAA0301
25919	HLAA0301
25920	HLAA0301
25921	HLAA0301
25922	HLAA0301
25923	HLAA0301
25924	HLAA0301
25925	HLAA0301
25926	HLAA0301
25927	HLAA0301
25928	HLAA0301
25929	HLAA0301
25930	HLAA0301
25931	HLAA0301
25932	HLAA0301
25933	HLAA0301
25934	HLAA0301
25935	HLAA0301
25936	HLAA0301
25937	HLAA0301
25938	HLAA0301
25939	HLAA0301
25940	HLAA0301
25941	HLAA0301
25942	HLAA0301
25943	HLAA0301
25944	HLAA0301
25945	HLAA0301
25946	HLAA0301
25947	HLAA0301
25948	HLAA0301
25949	HLAA0301
25950	HLAA0301
25951	HLAA0301
25952	HLAA0301
25953	HLAA0301
25954	HLAA0301
25955	HLAA0301
25956	HLAA0301
25957	HLAA0301
25958	HLAA0301
25959	HLAA0301
25960	HLAA0301
25961	HLAA0301
25962	HLAA0301
25963	HLAA0301
25964	HLAA0301
25965	HLAA0301
25966	HLAA0301
25967	HLAA0301
25968	HLAA0301
25969	HLAA0301
25970	HLAA0301
25971	HLAA0301
25972	HLAA0301
25973	HLAA0301
25974	HLAA0301
25975	HLAA0301
25976	HLAA0301
25977	HLAA0301
25978	HLAA0301
25979	HLAA0301
25980	HLAA0301
25981	HLAA0301
25982	HLAA0301
25983	HLAA0301
25984	HLAA0301
25985	HLAA0301
25986	HLAA0301
25987	HLAA0301
25988	HLAA0301
25989	HLAA0301
25990	HLAA0301
25991	HLAA0301
25992	HLAA0301
25993	HLAA0301
25994	HLAA0301
25995	HLAA0301
25996	HLAA0301
25997	HLAA0301
25998	HLAA0301
25999	HLAA0301
26000	HLAA0301
26001	HLAA0301
26002	HLAA0301
26003	HLAA0301
26004	HLAA0301
26005	HLAA0301
26006	HLAA0301
26007	HLAA0301
26008	HLAA0301
26009	HLAA0301
26010	HLAA0301
26011	HLAA0301
26012	HLAA0301
26013	HLAA0301
26014	HLAA0301
26015	HLAA0301
26016	HLAA0301
26017	HLAA0301
26018	HLAA0301
26019	HLAA0301
26020	HLAA0301
26021	HLAA0301
26022	HLAA0301
26023	HLAA0301
26024	HLAA0301
26025	HLAA0301
26026	HLAA0301
26027	HLAA0301
26028	HLAA0301
26029	HLAA0301
26030	HLAA0301
26031	HLAA0301
26032	HLAA0301
26033	HLAA0301
26034	HLAA0301
26035	HLAA0301
26036	HLAA0301
26037	HLAA0301
26038	HLAA0301
26039	HLAA0301
26040	HLAA0301
26041	HLAA0301
26042	HLAA0301
26043	HLAA0301
26044	HLAA0301
26045	HLAA0301
26046	HLAA0301
26047	HLAA0301
26048	HLAA0301
26049	HLAA0301
26050	HLAA0301
26051	HLAA0301
26052	HLAA0301
26053	HLAA0301
26054	HLAA0301
26055	HLAA0301
26056	HLAA0301
26057	HLAA0301
26058	HLAA0301
26059	HLAA0301
26060	HLAA0301
26061	HLAA0301
26062	HLAA0301
26063	HLAA0301
26064	HLAA0301
26065	HLAA0301
26066	HLAA0301
26067	HLAA0301
26068	HLAA0301
26069	HLAA0301
26070	HLAA0301
26071	HLAA0301
26072	HLAA0301
26073	HLAA0301
26074	HLAA0301
26075	HLAA0301
26076	HLAA0301
26077	HLAA0301
26078	HLAA0301
26079	HLAA0301
26080	HLAA0301
26081	HLAA0301
26082	HLAA0301
26083	HLAA0301
26084	HLAA0301
26085	HLAA0301
26086	HLAA0301
26087	HLAA0301
26088	HLAA0301
26089	HLAA0301
26090	HLAA0301
26091	HLAA0301
26092	HLAA0301
26093	HLAA0301
26094	HLAA0301
26095	HLAA0301
26096	HLAA0301
26097	HLAA0301
26098	HLAA0301
26099	HLAA0301
26100	HLAA0301
26101	HLAA0301
26102	HLAA0301
26103	HLAA0301
26104	HLAA0301
26105	HLAA0301
26106	HLAA0301
26107	HLAA0301
26108	HLAA0301
26109	HLAA0301
26110	HLAA0301
26111	HLAA0301
26112	HLAA0301
26113	HLAA0301
26114	HLAA0301
26115	HLAA0301
26116	HLAA0301
26117	HLAA0301
26118	HLAA0301
26119	HLAA0301
26120	HLAA0301
26121	HLAA0301
26122	HLAA0301
26123	HLAA0301
26124	HLAA0301
26125	HLAA0301
26126	HLAA0301
26127	HLAA0301
26128	HLAA0301
26129	HLAA0301
26130	HLAA0301
26131	HLAA0301
26132	HLAA0301
26133	HLAA0301
26134	HLAA0301
26135	HLAA0301
26136	HLAA0301
26137	HLAA0301
26138	HLAA0301
26139	HLAA0301
26140	HLAA0301
26141	HLAA0301
26142	HLAA0301
26143	HLAA0301
26144	HLAA0301
26145	HLAA0301
26146	HLAA0301
26147	HLAA0301
26148	HLAA0301
26149	HLAA0301
26150	HLAA0301
26151	HLAA0301
26152	HLAA0301
26153	HLAA0301
26154	HLAA0301
26155	HLAA0301
26156	HLAA0301
26157	HLAA0301
26158	HLAA0301
26159	HLAA0301
26160	HLAA0301
26161	HLAA0301
26162	HLAA0301
26163	HLAA0301
26164	HLAA0301
26165	HLAA0301
26166	HLAA0301
26167	HLAA0301
26168	HLAA0301
26169	HLAA0301
26170	HLAA0301
26171	HLAA0301
26172	HLAA0301
26173	HLAA0301
26174	HLAA0301
26175	HLAA0301
26176	HLAA0301
26177	HLAA0301
26178	HLAA0301
26179	HLAA0301
26180	HLAA0301
26181	HLAA0301
26182	HLAA0301
26183	HLAA0301
26184	HLAA0301
26185	HLAA0301
26186	HLAA0301
26187	HLAA0301
26188	HLAA0301
26189	HLAA0301
26190	HLAA0301
26191	HLAA0301
26192	HLAA0301
26193	HLAA0301
26194	HLAA0301
26195	HLAA0301
26196	HLAA0301
26197	HLAA0301
26198	HLAA0301
26199	HLAA0301
26200	HLAA0301
26201	HLAA0301
26202	HLAA0301
26203	HLAA0301
26204	HLAA0301
26205	HLAA0301
26206	HLAA0301
26207	HLAA0301
26208	HLAA0301
26209	HLAA0301
26210	HLAA0301
26211	HLAA0301
26212	HLAA0301
26213	HLAA0301
26214	HLAA0301
26215	HLAA0301
26216	HLAA0301
26217	HLAA0301
26218	HLAA0301
26219	HLAA0301
26220	HLAA0301
26221	HLAA0301
26222	HLAA0301
26223	HLAA0301
26224	HLAA0301
26225	HLAA0301
26226	HLAA0301
26227	HLAA0301
26228	HLAA0301
26229	HLAA0301
26230	HLAA0301
26231	HLAA0301
26232	HLAA0301
26233	HLAA0301
26234	HLAA0301
26235	HLAA0301
26236	HLAA0301
26237	HLAA0301
26238	HLAA0301
26239	HLAA0301
26240	HLAA0301
26241	HLAA0301
26242	HLAA0301
26243	HLAA0301
26244	HLAA0301
26245	HLAA0301
26246	HLAA0301
26247	HLAA0301
26248	HLAA0301
26249	HLAA0301
26250	HLAA0301
26251	HLAA0301
26252	HLAA0301
26253	HLAA0301
26254	HLAA0301
26255	HLAA0301
26256	HLAA0301
26257	HLAA0301
26258	HLAA0301
26259	HLAA0301
26260	HLAA0301
26261	HLAA0301
26262	HLAA0301
26263	HLAA0301
26264	HLAA0301
26265	HLAA0301
26266	HLAA0301
26267	HLAA0301
26268	HLAA0301
26269	HLAA0301
26270	HLAA0301
26271	HLAA0301
26272	HLAA0301
26273	HLAA0301
26274	HLAA0301
26275	HLAA0301
26276	HLAA0301
26277	HLAA0301
26278	HLAA0301
26279	HLAA0301
26280	HLAA0301
26281	HLAA0301
26282	HLAA0301
26283	HLAA0301
26284	HLAA0301
26285	HLAA0301
26286	HLAA0301
26287	HLAA0301
26288	HLAA0301
26289	HLAA0301
26290	HLAA0301
26291	HLAA0301
26292	HLAA0301
26293	HLAA0301
26294	HLAA0301
26295	HLAA0301
26296	HLAA0301
26297	HLAA0301
26298	HLAA0301
26299	HLAA0301
26300	HLAA0301
26301	HLAA0301
26302	HLAA0301
26303	HLAA0301
26304	HLAA0301
26305	HLAA0301
26306	HLAA0301
26307	HLAA0301
26308	HLAA0301
26309	HLAA0301
26310	HLAA0301
26311	HLAA0301
26312	HLAA0301
26313	HLAA0301
26314	HLAA0301
26315	HLAA0301
26316	HLAA0301
26317	HLAA0301
26318	HLAA0301
26319	HLAA0301
26320	HLAA0301
26321	HLAA0301
26322	HLAA0301
26323	HLAA0301
26324	HLAA0301
26325	HLAA0301
26326	HLAA0301
26327	HLAA0301
26328	HLAA0301
26329	HLAA0301
26330	HLAA0301
26331	HLAA0301
26332	HLAA0301
26333	HLAA0301
26334	HLAA0301
26335	HLAA0301
26336	HLAA0301
26337	HLAA0301
26338	HLAA0301
26339	HLAA0301
26340	HLAA0301
26341	HLAA0301
26342	HLAA0301
26343	HLAA0301
26344	HLAA0301
26345	HLAA0301
26346	HLAA0301
26347	HLAA0301
26348	HLAA0301
26349	HLAA0301
26350	HLAA0301
26351	HLAA0301
26352	HLAA0301
26353	HLAA0301
26354	HLAA0301
26355	HLAA0301
26356	HLAA0301
26357	HLAA0301
26358	HLAA0301
26359	HLAA0301
26360	HLAA0301
26361	HLAA0301
26362	HLAA0301
26363	HLAA0301
26364	HLAA0301
26365	HLAA0301
26366	HLAA0301
26367	HLAA0301
26368	HLAA0301
26369	HLAA0301
26370	HLAA0301
26371	HLAA0301
26372	HLAA0301
26373	HLAA0301
26374	HLAA0301
26375	HLAA0301
26376	HLAA0301
26377	HLAA0301
26378	HLAA0301
26379	HLAA0301
26380	HLAA0301
26381	HLAA0301
26382	HLAA0301
26383	HLAA0301
26384	HLAA0301
26385	HLAA0301
26386	HLAA0301
26387	HLAA0301
26388	HLAA0301
26389	HLAA0301
26390	HLAA0301
26391	HLAA0301
26392	HLAA0301
26393	HLAA0301
26394	HLAA0301
26395	HLAA0301
26396	HLAA0301
26397	HLAA0301
26398	HLAA0301
26399	HLAA0301
26400	HLAA0301
26401	HLAA0301
26402	HLAA0301
26403	HLAA0301
26404	HLAA0301
26405	HLAA0301
26406	HLAA0301
26407	HLAA0301
26408	HLAA0301
26409	HLAA0301
26410	HLAA0301
26411	HLAA0301
26412	HLAA0301
26413	HLAA0301
26414	HLAA0301
26415	HLAA0301
26416	HLAA0301
26417	HLAA0301
26418	HLAA0301
26419	HLAA0301
26420	HLAA0301
26421	HLAA0301
26422	HLAA0301
26423	HLAA0301
26424	HLAA0301
26425	HLAA0301
26426	HLAA0301
26427	HLAA0301
26428	HLAA0301
26429	HLAA0301
26430	HLAA0301
26431	HLAA0301
26432	HLAA0301
26433	HLAA0301
26434	HLAA0301
26435	HLAA0301
26436	HLAA0301
26437	HLAA0301
26438	HLAA0301
26439	HLAA0301
26440	HLAA0301
26441	HLAA0301
26442	HLAA0301
26443	HLAA0301
26444	HLAA0301
26445	HLAA0301
26446	HLAA0301
26447	HLAA0301
26448	HLAA0301
26449	HLAA0301
26450	HLAA0301
26451	HLAA0301
26452	HLAA0301
26453	HLAA0301
26454	HLAA0301
26455	HLAA0301
26456	HLAA0301
26457	HLAA0301
26458	HLAA0301
26459	HLAA0301
26460	HLAA0301
26461	HLAA0301
26462	HLAA0301
26463	HLAA0301
26464	HLAA0301
26465	HLAA0301
26466	HLAA0301
26467	HLAA0301
26468	HLAA0301
26469	HLAA0301
26470	HLAA0301
26471	HLAA0301
26472	HLAA0301
26473	HLAA0301
26474	HLAA0301
26475	HLAA0301
26476	HLAA0301
26477	HLAA0301
26478	HLAA0301
26479	HLAA0301
26480	HLAA0301
26481	HLAA0301
26482	HLAA0301
26483	HLAA0301
26484	HLAA0301
26485	HLAA0301
26486	HLAA0301
26487	HLAA0301
26488	HLAA0301
26489	HLAA0301
26490	HLAA0301
26491	HLAA0301
26492	HLAA0301
26493	HLAA0301
26494	HLAA0301
26495	HLAA0301
26496	HLAA0301
26497	HLAA0301
26498	HLAA0301
26499	HLAA0301
26500	HLAA0301
26501	HLAA0301
26502	HLAA0301
26503	HLAA0301
26504	HLAA0301
26505	HLAA0301
26506	HLAA0301
26507	HLAA0301
26508	HLAA0301
26509	HLAA0301
26510	HLAA0301
26511	HLAA0301
26512	HLAA0301
26513	HLAA0301
26514	HLAA0301
26515	HLAA0301
26516	HLAA0301
26517	HLAA0301
26518	HLAA0301
26519	HLAA0301
26520	HLAA0301
26521	HLAA0301
26522	HLAA0301
26523	HLAA0301
26524	HLAA0301
26525	HLAA0301
26526	HLAA0301
26527	HLAA0301
26528	HLAA0301
26529	HLAA0301
26530	HLAA0301
26531	HLAA0301
26532	HLAA0301
26533	HLAA0301
26534	HLAA0301
26535	HLAA0301
26536	HLAA0301
26537	HLAA0301
26538	HLAA0301
26539	HLAA0301
26540	HLAA0301
26541	HLAA0301
26542	HLAA0301
26543	HLAA0301
26544	HLAA0301
26545	HLAA0301
26546	HLAA0301
26547	HLAA0301
26548	HLAA0301
26549	HLAA0301
26550	HLAA0301
26551	HLAA0301
26552	HLAA0301
26553	HLAA0301
26554	HLAA0301
26555	HLAA0301
26556	HLAA0301
26557	HLAA0301
26558	HLAA0301
26559	HLAA0301
26560	HLAA0301
26561	HLAA0301
26562	HLAA0301
26563	HLAA0301
26564	HLAA0301
26565	HLAA0301
26566	HLAA0301
26567	HLAA0301
26568	HLAA0301
26569	HLAA0301
26570	HLAA0301
26571	HLAA0301
26572	HLAA0301
26573	HLAA0301
26574	HLAA0301
26575	HLAA0301
26576	HLAA0301
26577	HLAA0301
26578	HLAA0301
26579	HLAA0301
26580	HLAA0301
26581	HLAA0301
26582	HLAA0301
26583	HLAA0301
26584	HLAA0301
26585	HLAA0301
26586	HLAA0301
26587	HLAA0301
26588	HLAA0301
26589	HLAA0301
26590	HLAA0301
26591	HLAA0301
26592	HLAA0301
26593	HLAA0301
26594	HLAA0301
26595	HLAA0301
26596	HLAA0301
26597	HLAA0301
26598	HLAA0301
26599	HLAA0301
26600	HLAA0301
26601	HLAA0301
26602	HLAA0301
26603	HLAA0301
26604	HLAA0301
26605	HLAA0301
26606	HLAA0301
26607	HLAA0301
26608	HLAA0301
26609	HLAA0301
26610	HLAA0301
26611	HLAA0301
26612	HLAA0301
26613	HLAA0301
26614	HLAA0301
26615	HLAA0301
26616	HLAA0301
26617	HLAA0301
26618	HLAA0301
26619	HLAA0301
26620	HLAA0301
26621	HLAA0301
26622	HLAA0301
26623	HLAA0301
26624	HLAA0301
26625	HLAA0301
26626	HLAA0301
26627	HLAA0301
26628	HLAA0301
26629	HLAA0301
26630	HLAA0301
26631	HLAA0301
26632	HLAA0301
26633	HLAA0301
26634	HLAA0301
26635	HLAA0301
26636	HLAA0301
26637	HLAA0301
26638	HLAA0301
26639	HLAA0301
26640	HLAA0301
26641	HLAA0301
26642	HLAA0301
26643	HLAA0301
26644	HLAA0301
26645	HLAA0301
26646	HLAA0301
26647	HLAA0301
26648	HLAA0301
26649	HLAA0301
26650	HLAA0301
26651	HLAA0301
26652	HLAA0301
26653	HLAA0301
26654	HLAA0301
26655	HLAA0301
26656	HLAA0301
26657	HLAA0301
26658	HLAA0301
26659	HLAA0301
26660	HLAA0301
26661	HLAA0301
26662	HLAA0301
26663	HLAA0301
26664	HLAA0301
26665	HLAA0301
26666	HLAA0301
26667	HLAA0301
26668	HLAA0301
26669	HLAA0301
26670	HLAA0301
26671	HLAA0301
26672	HLAA0301
26673	HLAA0301
26674	HLAA0301
26675	HLAA0301
26676	HLAA0301
26677	HLAA0301
26678	HLAA0301
26679	HLAA0301
26680	HLAA0301
26681	HLAA0301
26682	HLAA0301
26683	HLAA0301
26684	HLAA0301
26685	HLAA0301
26686	HLAA0301
26687	HLAA0301
26688	HLAA0301
26689	HLAA0301
26690	HLAA0301
26691	HLAA0301
26692	HLAA0301
26693	HLAA0301
26694	HLAA0301
26695	HLAA0301
26696	HLAA0301
26697	HLAA0301
26698	HLAA0301
26699	HLAA0301
26700	HLAA0301
26701	HLAA0301
26702	HLAA0301
26703	HLAA0301
26704	HLAA0301
26705	HLAA0301
26706	HLAA0301
26707	HLAA0301
26708	HLAA0301
26709	HLAA0301
26710	HLAA0301
26711	HLAA0301
26712	HLAA0301
26713	HLAA0301
26714	HLAA0301
26715	HLAA0301
26716	HLAA0301
26717	HLAA0301
26718	HLAA0301
26719	HLAA0301
26720	HLAA0301
26721	HLAA0301
26722	HLAA0301
26723	HLAA0301
26724	HLAA0301
26725	HLAA0301
26726	HLAA0301
26727	HLAA0301
26728	HLAA0301
26729	HLAA0301
26730	HLAA0301
26731	HLAA0301
26732	HLAA0301
26733	HLAA0301
26734	HLAA0301
26735	HLAA0301
26736	HLAA0301
26737	HLAA0301
26738	HLAA0301
26739	HLAA0301
26740	HLAA0301
26741	HLAA0301
26742	HLAA0301
26743	HLAA0301
26744	HLAA0301
26745	HLAA0301
26746	HLAA0301
26747	HLAA0301
26748	HLAA0301
26749	HLAA0301
26750	HLAA0301
26751	HLAA0301
26752	HLAA0301
26753	HLAA0301
26754	HLAA0301
26755	HLAA0301
26756	HLAA0301
26757	HLAA0301
26758	HLAA0301
26759	HLAA0301
26760	HLAA0301
26761	HLAA0301
26762	HLAA0301
26763	HLAA0301
26764	HLAA0301
26765	HLAA0301
26766	HLAA0301
26767	HLAA0301
26768	HLAA0301
26769	HLAA0301
26770	HLAA0301
26771	HLAA0301
26772	HLAA0301
26773	HLAA0301
26774	HLAA0301
26775	HLAA0301
26776	HLAA0301
26777	HLAA0301
26778	HLAA0301
26779	HLAA0301
26780	HLAA0301
26781	HLAA0301
26782	HLAA0301
26783	HLAA0301
26784	HLAA0301
26785	HLAA0301
26786	HLAA0301
26787	HLAA0301
26788	HLAA0301
26789	HLAA0301
26790	HLAA0301
26791	HLAA0301
26792	HLAA0301
26793	HLAA0301
26794	HLAA0301
26795	HLAA0301
26796	HLAA0301
26797	HLAA0301
26798	HLAA0301
26799	HLAA0301
26800	HLAA0301
26801	HLAA0301
26802	HLAA0301
26803	HLAA0301
26804	HLAA0301
26805	HLAA0301
26806	HLAA0301
26807	HLAA0301
26808	HLAA0301
26809	HLAA0301
26810	HLAA0301
26811	HLAA0301
26812	HLAA0301
26813	HLAA0301
26814	HLAA0301
26815	HLAA0301
26816	HLAA0301
26817	HLAA0301
26818	HLAA0301
26819	HLAA0301
26820	HLAA0301
26821	HLAA0301
26822	HLAA0301
26823	HLAA0301
26824	HLAA0301
26825	HLAA0301
26826	HLAA0301
26827	HLAA0301
26828	HLAA0301
26829	HLAA0301
26830	HLAA0301
26831	HLAA0301
26832	HLAA0301
26833	HLAA0301
26834	HLAA0301
26835	HLAA0301
26836	HLAA0301
26837	HLAA0301
26838	HLAA0301
26839	HLAA0301
26840	HLAA0301
26841	HLAA0301
26842	HLAA0301
26843	HLAA0301
26844	HLAA0301
26845	HLAA0301
26846	HLAA0301
26847	HLAA0301
26848	HLAA0301
26849	HLAA0301
26850	HLAA0301
26851	HLAA0301
26852	HLAA0301
26853	HLAA0301
26854	HLAA0301
26855	HLAA0301
26856	HLAA0301
26857	HLAA0301
26858	HLAA0301
26859	HLAA0301
26860	HLAA0301
26861	HLAA0301
26862	HLAA0301
26863	HLAA0301
26864	HLAA0301
26865	HLAA0301
26866	HLAA0301
26867	HLAA0301
26868	HLAA0301
26869	HLAA0301
26870	HLAA0301
26871	HLAA0301
26872	HLAA0301
26873	HLAA0301
26874	HLAA0301
26875	HLAA0301
26876	HLAA0301
26877	HLAA0301
26878	HLAA0301
26879	HLAA0301
26880	HLAA0301
26881	HLAA0301
26882	HLAA0301
26883	HLAA0301
26884	HLAA0301
26885	HLAA0301
26886	HLAA0301
26887	HLAA0301
26888	HLAA0301
26889	HLAA0301
26890	HLAA0301
26891	HLAA0301
26892	HLAA0301
26893	HLAA0301
26894	HLAA0301
26895	HLAA0301
26896	HLAA0301
26897	HLAA0301
26898	HLAA0301
26899	HLAA0301
26900	HLAA0301
26901	HLAA0301
26902	HLAA0301
26903	HLAA0301
26904	HLAA0301
26905	HLAA0301
26906	HLAA0301
26907	HLAA0301
26908	HLAA0301
26909	HLAA0301
26910	HLAA0301
26911	HLAA0301
26912	HLAA0301
26913	HLAA0301
26914	HLAA0301
26915	HLAA0301
26916	HLAA0301
26917	HLAA0301
26918	HLAA0301
26919	HLAA0301
26920	HLAA0301
26921	HLAA0301
26922	HLAA0301
26923	HLAA0301
26924	HLAA0301
26925	HLAA0301
26926	HLAA0301
26927	HLAA0301
26928	HLAA0301
26929	HLAA0301
26930	HLAA0301
26931	HLAA0301
26932	HLAA0301
26933	HLAA0301
26934	HLAA0301
26935	HLAA0301
26936	HLAA0301
26937	HLAA0301
26938	HLAA0301
26939	HLAA0301
26940	HLAA0301
26941	HLAA0301
26942	HLAA0301
26943	HLAA0301
26944	HLAA0301
26945	HLAA0301
26946	HLAA0301
26947	HLAA0301
26948	HLAA0301
26949	HLAA0301
26950	HLAA0301
26951	HLAA0301
26952	HLAA0301
26953	HLAA0301
26954	HLAA0301
26955	HLAA0301
26956	HLAA0301
26957	HLAA0301
26958	HLAA0301
26959	HLAA0301
26960	HLAA0301
26961	HLAA0301
26962	HLAA0301
26963	HLAA0301
26964	HLAA0301
26965	HLAA0301
26966	HLAA0301
26967	HLAA0301
26968	HLAA0301
26969	HLAA0301
26970	HLAA0301
26971	HLAA0301
26972	HLAA0301
26973	HLAA0301
26974	HLAA0301
26975	HLAA0301
26976	HLAA0301
26977	HLAA0301
26978	HLAA0301
26979	HLAA0301
26980	HLAA0301
26981	HLAA0301
26982	HLAA0301
26983	HLAA0301
26984	HLAA0301
26985	HLAA0301
26986	HLAA0301
26987	HLAA0301
26988	HLAA0301
26989	HLAA0301
26990	HLAA0301
26991	HLAA0301
26992	HLAA0301
26993	HLAA0301
26994	HLAA0301
26995	HLAA0301
26996	HLAA0301
26997	HLAA0301
26998	HLAA0301
26999	HLAA0301
27000	HLAA0301
27001	HLAA0301
27002	HLAA0301
27003	HLAA0301
27004	HLAA0301
27005	HLAA0301
27006	HLAA0301
27007	HLAA0301
27008	HLAA0301
27009	HLAA0301
27010	HLAA0301
27011	HLAA0301
27012	HLAA0301
27013	HLAA0301
27014	HLAA0301
27015	HLAA0301
27016	HLAA0301
27017	HLAA0301
27018	HLAA0301
27019	HLAA0301
27020	HLAA0301
27021	HLAA0301
27022	HLAA0301
27023	HLAA0301
27024	HLAA0301
27025	HLAA0301
27026	HLAA0301
27027	HLAA0301
27028	HLAA0301
27029	HLAA0301
27030	HLAA0301
27031	HLAA0301
27032	HLAA0301
27033	HLAA0301
27034	HLAA0301
27035	HLAA0301
27036	HLAA0301
27037	HLAA0301
27038	HLAA0301
27039	HLAA0301
27040	HLAA0301
27041	HLAA0301
27042	HLAA0301
27043	HLAA0301
27044	HLAA0301
27045	HLAA0301
27046	HLAA0301
27047	HLAA0301
27048	HLAA0301
27049	HLAA0301
27050	HLAA0301
27051	HLAA0301
27052	HLAA0301
27053	HLAA0301
27054	HLAA0301
27055	HLAA0301
27056	HLAA0301
27057	HLAA0301
27058	HLAA0301
27059	HLAA0301
27060	HLAA0301
27061	HLAA0301
27062	HLAA0301
27063	HLAA0301
27064	HLAA0301
27065	HLAA0301
27066	HLAA0301
27067	HLAA0301
27068	HLAA0301
27069	HLAA0301
27070	HLAA0301
27071	HLAA0301
27072	HLAA0301
27073	HLAA0301
27074	HLAA0301
27075	HLAA0301
27076	HLAA0301
27077	HLAA0301
27078	HLAA0301
27079	HLAA0301
27080	HLAA0301
27081	HLAA0301
27082	HLAA0301
27083	HLAA0301
27084	HLAA0301
27085	HLAA0301
27086	HLAA0301
27087	HLAA0301
27088	HLAA0301
27089	HLAA0301
27090	HLAA0301
27091	HLAA0301
27092	HLAA0301
27093	HLAA0301
27094	HLAA0301
27095	HLAA0301
27096	HLAA0301
27097	HLAA0301
27098	HLAA0301
27099	HLAA0301
27100	HLAA0301
27101	HLAA0301
27102	HLAA0301
27103	HLAA0301
27104	HLAA0301
27105	HLAA0301
27106	HLAA0301
27107	HLAA0301
27108	HLAA0301
27109	HLAA0301
27110	HLAA0301
27111	HLAA0301
27112	HLAA0301
27113	HLAA0301
27114	HLAA0301
27115	HLAA0301
27116	HLAA0301
27117	HLAA0301
27118	HLAA0301
27119	HLAA0301
27120	HLAA0301
